,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
0,2022-07-05T00:00:00+05:30,95.5,95.8,94.1,94.55,8291514,,,No Signal
1,2022-07-06T00:00:00+05:30,94.2,95.8,93.8,95.55,9418380,,,No Signal
2,2022-07-07T00:00:00+05:30,96.4,97.25,95.75,97.0,11404099,,,No Signal
3,2022-07-08T00:00:00+05:30,97.3,98.25,96.3,97.5,6014287,,,No Signal
4,2022-07-11T00:00:00+05:30,96.95,99.9,96.55,99.7,10419710,,,No Signal
5,2022-07-12T00:00:00+05:30,99.5,100.7,98.2,98.45,11379873,,,No Signal
6,2022-07-13T00:00:00+05:30,99.2,99.65,97.25,98.0,6843492,,,No Signal
7,2022-07-14T00:00:00+05:30,98.2,99.05,96.15,97.2,13463788,,,No Signal
8,2022-07-15T00:00:00+05:30,97.8,99.95,96.4,98.75,22353647,,,No Signal
9,2022-07-18T00:00:00+05:30,100.0,103.2,99.7,103.0,27285612,,,No Signal
10,2022-07-19T00:00:00+05:30,101.5,107.5,100.6,107.05,40561228,,,No Signal
11,2022-07-20T00:00:00+05:30,108.45,109.45,104.6,105.15,30368364,,,No Signal
12,2022-07-21T00:00:00+05:30,105.5,108.0,104.85,107.2,15882426,,,No Signal
13,2022-07-22T00:00:00+05:30,107.85,108.35,106.45,107.2,11412216,,,No Signal
14,2022-07-25T00:00:00+05:30,107.2,108.0,105.5,107.35,11501218,,,No Signal
15,2022-07-26T00:00:00+05:30,107.45,107.55,105.35,105.7,6453931,,,No Signal
16,2022-07-27T00:00:00+05:30,105.4,107.8,105.05,107.45,11256423,,,No Signal
17,2022-07-28T00:00:00+05:30,108.05,109.25,106.5,107.3,13107296,,,No Signal
18,2022-07-29T00:00:00+05:30,108.45,108.45,106.5,106.65,7924289,,,No Signal
19,2022-08-01T00:00:00+05:30,106.75,107.85,105.75,106.9,9879875,102.38250000000001,4.82954925977897,No Signal
20,2022-08-02T00:00:00+05:30,106.75,111.95,106.0,110.85,29942911,103.19750000000002,4.813535602859921,No Signal
21,2022-08-03T00:00:00+05:30,110.65,111.2,108.05,109.0,11009613,103.87,4.6247162075093895,No Signal
22,2022-08-04T00:00:00+05:30,109.8,109.9,106.45,107.95,11534167,104.41749999999999,4.4118642377833455,No Signal
23,2022-08-05T00:00:00+05:30,108.3,110.65,107.55,108.95,11292168,104.99000000000001,4.205028318322575,No Signal
24,2022-08-08T00:00:00+05:30,108.95,110.9,107.85,109.55,9773014,105.4825,4.128982128933558,No Signal
25,2022-08-10T00:00:00+05:30,109.95,110.75,109.05,109.75,8189141,106.04749999999999,3.8817547239415044,No Signal
26,2022-08-11T00:00:00+05:30,110.35,112.45,109.75,111.15,13837639,106.705,3.546083829566906,No Signal
27,2022-08-12T00:00:00+05:30,111.25,111.9,110.5,110.8,6636131,107.38499999999999,2.8662785334958425,No Signal
28,2022-08-16T00:00:00+05:30,111.0,111.5,109.45,110.35,8722251,107.965,2.097561240558873,No Signal
29,2022-08-17T00:00:00+05:30,110.6,110.95,108.8,109.8,10861481,108.30499999999999,1.7770392289009207,No Signal
30,2022-08-18T00:00:00+05:30,109.75,112.0,109.6,111.0,10108639,108.50250000000001,1.8482904619077327,No Signal
31,2022-08-19T00:00:00+05:30,111.0,111.25,106.85,107.55,10124478,108.62250000000002,1.6903343643072677,Sell
32,2022-08-22T00:00:00+05:30,107.0,107.65,105.5,106.65,11627331,108.595,1.7189271439813694,Sell
33,2022-08-23T00:00:00+05:30,105.55,110.2,105.2,109.85,9588455,108.7275,1.7078360422969716,No Signal
34,2022-08-24T00:00:00+05:30,109.45,114.4,109.3,114.0,22320220,109.06000000000002,2.040484978471685,No Signal
35,2022-08-25T00:00:00+05:30,114.75,116.1,113.5,113.9,26932836,109.47,2.1506669712098185,No Signal
36,2022-08-26T00:00:00+05:30,115.15,115.75,113.25,113.9,13976582,109.79249999999999,2.3095496826962374,No Signal
37,2022-08-29T00:00:00+05:30,110.0,113.6,108.6,113.1,10728791,110.08250000000001,2.34398867205817,No Signal
38,2022-08-30T00:00:00+05:30,113.85,117.85,113.5,117.0,26075581,110.6,2.666606358967217,Sell
39,2022-09-01T00:00:00+05:30,115.05,119.1,115.05,118.75,19439481,111.19250000000002,3.0849070189860948,Buy
40,2022-09-02T00:00:00+05:30,119.8,122.8,118.8,119.55,21690586,111.62749999999998,3.6038165076836024,Buy
41,2022-09-05T00:00:00+05:30,120.4,129.75,120.1,123.55,60975341,112.35499999999999,4.421356662478419,Buy
42,2022-09-06T00:00:00+05:30,124.7,124.7,120.15,121.2,20078631,113.0175,4.709851796752062,Buy
43,2022-09-07T00:00:00+05:30,120.95,122.2,118.55,118.75,14867573,113.50750000000001,4.773757071631063,Buy
44,2022-09-08T00:00:00+05:30,119.95,120.5,115.65,118.05,20119999,113.9325,4.781248323013145,Buy
45,2022-09-09T00:00:00+05:30,119.2,122.7,118.0,119.55,24051083,114.42249999999999,4.831951632513264,Buy
46,2022-09-12T00:00:00+05:30,120.15,120.75,119.0,119.8,10118619,114.85499999999999,4.910110407162606,Buy
47,2022-09-13T00:00:00+05:30,120.4,120.5,118.35,119.15,8917803,115.27250000000001,4.902160506509265,Buy
48,2022-09-14T00:00:00+05:30,117.15,121.0,116.4,120.75,13514555,115.79249999999999,4.904114142871882,Buy
49,2022-09-15T00:00:00+05:30,121.75,124.35,120.65,122.05,16778431,116.405,4.881218031770805,Buy
50,2022-09-16T00:00:00+05:30,121.3,124.65,120.25,121.55,24092980,116.9325,4.836219570784846,Buy
51,2022-09-19T00:00:00+05:30,121.55,123.6,120.8,122.6,9936299,117.68499999999999,4.455366368064974,Buy
52,2022-09-20T00:00:00+05:30,123.75,124.6,123.15,123.3,7434777,118.5175,3.790926667715994,Sell
53,2022-09-21T00:00:00+05:30,123.1,123.9,121.0,122.75,8203770,119.1625,3.3048558771028667,Sell
54,2022-09-22T00:00:00+05:30,121.9,124.1,120.6,122.9,12016308,119.60749999999999,3.1695622726175183,Sell
55,2022-09-23T00:00:00+05:30,123.0,123.3,115.9,116.75,14297159,119.75,2.956349099818954,Sell
