Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,475.15,480.0,471.0,472.15,12003244
2022-07-06T00:00:00+05:30,475.15,481.0,473.9,479.95,12059857
2022-07-07T00:00:00+05:30,484.0,488.25,481.6,486.75,11497832
2022-07-08T00:00:00+05:30,489.0,489.9,485.15,488.55,9057231
2022-07-11T00:00:00+05:30,485.0,491.3,485.0,488.2,7704792
2022-07-12T00:00:00+05:30,485.0,491.35,483.1,484.95,7364457
2022-07-13T00:00:00+05:30,487.75,492.45,484.55,486.5,8208853
2022-07-14T00:00:00+05:30,486.6,488.9,476.8,479.35,9385630
2022-07-15T00:00:00+05:30,482.55,484.4,474.7,479.1,6945602
2022-07-18T00:00:00+05:30,484.55,491.5,482.1,490.3,9934786
2022-07-19T00:00:00+05:30,488.0,498.55,488.0,497.95,11724183
2022-07-20T00:00:00+05:30,501.0,510.6,500.4,508.6,19280117
2022-07-21T00:00:00+05:30,509.8,513.4,506.75,512.05,13814893
2022-07-22T00:00:00+05:30,513.45,520.2,511.2,513.7,14699129
2022-07-25T00:00:00+05:30,513.4,519.0,509.15,517.8,10229058
2022-07-26T00:00:00+05:30,517.7,520.8,513.1,514.2,8861908
2022-07-27T00:00:00+05:30,515.3,529.95,512.25,528.2,15097751
2022-07-28T00:00:00+05:30,533.2,537.5,529.55,532.45,12159804
2022-07-29T00:00:00+05:30,535.05,537.0,526.75,528.35,11920561
2022-08-01T00:00:00+05:30,529.05,535.0,526.4,533.75,8294738
2022-08-02T00:00:00+05:30,531.9,544.9,531.1,542.1,16844836
2022-08-03T00:00:00+05:30,541.9,546.4,534.65,540.85,24259750
2022-08-04T00:00:00+05:30,543.65,544.0,524.2,533.25,18068698
2022-08-05T00:00:00+05:30,535.55,542.9,529.0,531.05,21110061
2022-08-08T00:00:00+05:30,524.0,524.0,513.85,520.4,32565395
2022-08-10T00:00:00+05:30,521.55,523.5,513.4,514.7,16902653
2022-08-11T00:00:00+05:30,520.0,526.0,517.2,524.75,13859165
2022-08-12T00:00:00+05:30,525.7,531.8,525.15,530.7,12153705
2022-08-16T00:00:00+05:30,533.3,533.85,525.0,525.95,10720385
2022-08-17T00:00:00+05:30,528.85,530.55,524.35,528.15,12053630
2022-08-18T00:00:00+05:30,526.85,534.8,526.2,532.35,9012303
2022-08-19T00:00:00+05:30,532.0,533.65,518.5,520.35,11086171
2022-08-22T00:00:00+05:30,519.0,519.9,510.0,511.3,9675726
2022-08-23T00:00:00+05:30,508.25,524.0,508.25,521.9,8597326
2022-08-24T00:00:00+05:30,519.0,523.0,512.3,519.3,11930060
2022-08-25T00:00:00+05:30,521.95,528.3,518.5,520.4,15472911
2022-08-26T00:00:00+05:30,523.8,529.5,522.2,523.8,12855064
2022-08-29T00:00:00+05:30,511.3,517.0,508.75,514.85,9420486
2022-08-30T00:00:00+05:30,518.2,532.5,517.95,531.25,14834754
2022-09-01T00:00:00+05:30,522.25,540.9,522.25,533.3,16666039
2022-09-02T00:00:00+05:30,537.0,537.85,531.25,536.7,10017486
2022-09-05T00:00:00+05:30,537.0,540.8,536.3,538.9,7818681
2022-09-06T00:00:00+05:30,538.0,542.7,534.1,537.8,8657225
2022-09-07T00:00:00+05:30,534.4,537.45,531.55,532.85,8444201
2022-09-08T00:00:00+05:30,536.0,546.3,535.5,544.65,12240001
2022-09-09T00:00:00+05:30,549.65,557.0,548.0,553.35,18587927
2022-09-12T00:00:00+05:30,554.9,558.6,551.25,554.9,9676800
2022-09-13T00:00:00+05:30,560.0,560.0,553.75,558.0,16706889
2022-09-14T00:00:00+05:30,550.0,574.85,549.25,571.75,21626978
2022-09-15T00:00:00+05:30,572.55,578.5,567.9,572.15,12749639
2022-09-16T00:00:00+05:30,569.1,574.0,560.3,561.8,14738144
2022-09-19T00:00:00+05:30,560.7,574.4,559.55,572.25,11193723
2022-09-20T00:00:00+05:30,577.95,577.95,572.85,574.05,8482932
2022-09-21T00:00:00+05:30,575.0,577.3,565.4,569.7,9392039
2022-09-22T00:00:00+05:30,566.75,574.0,562.0,567.3,11869062
2022-09-23T00:00:00+05:30,564.8,568.0,549.5,550.6,12562535
2022-09-26T00:00:00+05:30,545.8,549.0,533.0,543.3,16158284
2022-09-27T00:00:00+05:30,544.55,550.9,533.2,536.5,11066138
2022-09-28T00:00:00+05:30,532.9,539.8,520.35,524.85,12233158
2022-09-29T00:00:00+05:30,529.0,535.7,519.55,521.75,17309882
