Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,38.15,40.2,38.1,39.0,6445144
2022-07-06T00:00:00+05:30,39.75,39.75,38.5,38.8,2470698
2022-07-07T00:00:00+05:30,39.0,39.35,38.15,38.65,3202867
2022-07-08T00:00:00+05:30,39.1,39.2,38.7,38.8,2283528
2022-07-11T00:00:00+05:30,39.15,39.2,38.45,38.7,2526820
2022-07-12T00:00:00+05:30,38.0,38.0,37.6,37.7,3687720
2022-07-13T00:00:00+05:30,37.7,37.9,37.05,37.15,2681367
2022-07-14T00:00:00+05:30,37.15,37.15,35.75,36.1,5150597
2022-07-15T00:00:00+05:30,36.55,36.7,35.75,36.2,3099717
2022-07-18T00:00:00+05:30,35.55,38.0,35.5,38.0,5343388
2022-07-19T00:00:00+05:30,38.6,39.9,38.3,39.9,5396037
2022-07-20T00:00:00+05:30,41.0,41.85,40.7,41.85,8958388
2022-07-21T00:00:00+05:30,43.2,43.75,40.35,41.05,17487685
2022-07-22T00:00:00+05:30,41.45,41.95,39.65,39.85,7529890
2022-07-25T00:00:00+05:30,39.05,39.05,38.0,38.65,6212686
2022-07-26T00:00:00+05:30,38.9,40.3,38.75,39.2,5096474
2022-07-27T00:00:00+05:30,39.2,39.45,38.3,38.5,4260773
2022-07-28T00:00:00+05:30,38.55,38.8,37.5,37.9,7845465
2022-07-29T00:00:00+05:30,39.0,39.75,38.35,39.7,8810479
2022-08-01T00:00:00+05:30,40.2,40.65,39.25,39.6,10029000
2022-08-02T00:00:00+05:30,40.45,41.15,39.6,40.45,11527223
2022-08-03T00:00:00+05:30,40.45,40.45,39.2,40.15,6744519
2022-08-04T00:00:00+05:30,40.15,41.55,39.0,41.05,15601504
2022-08-05T00:00:00+05:30,41.75,41.85,40.05,40.25,13199792
2022-08-08T00:00:00+05:30,40.6,40.85,39.6,39.75,6762085
2022-08-10T00:00:00+05:30,36.0,38.45,35.0,38.05,18502929
2022-08-11T00:00:00+05:30,37.55,38.3,37.05,37.35,9279790
2022-08-12T00:00:00+05:30,37.05,38.65,37.0,37.6,7252059
2022-08-16T00:00:00+05:30,37.6,38.0,37.1,37.25,11138117
2022-08-17T00:00:00+05:30,37.6,38.9,37.45,38.05,12716090
2022-08-18T00:00:00+05:30,38.25,38.5,37.85,38.1,7522921
2022-08-19T00:00:00+05:30,38.4,39.7,37.8,38.4,20417007
2022-08-22T00:00:00+05:30,38.4,38.45,37.5,37.6,7059899
2022-08-23T00:00:00+05:30,37.35,38.1,36.55,36.9,10101744
2022-08-24T00:00:00+05:30,36.9,37.2,36.5,36.55,8181023
2022-08-25T00:00:00+05:30,36.9,37.35,36.65,36.75,7406660
2022-08-26T00:00:00+05:30,37.2,37.4,36.85,37.0,6645618
2022-08-29T00:00:00+05:30,35.9,36.6,35.5,36.1,7477699
2022-08-30T00:00:00+05:30,36.35,37.9,36.3,36.7,11466180
2022-09-01T00:00:00+05:30,36.7,37.5,36.45,36.85,8224665
2022-09-02T00:00:00+05:30,37.25,40.3,37.0,39.75,52484855
2022-09-05T00:00:00+05:30,40.25,41.9,40.0,40.95,44684298
2022-09-06T00:00:00+05:30,41.35,41.7,39.8,40.2,15707618
2022-09-07T00:00:00+05:30,40.15,40.15,39.35,39.5,10849445
2022-09-08T00:00:00+05:30,39.75,40.85,39.7,40.25,12915686
2022-09-09T00:00:00+05:30,40.6,40.65,39.5,39.7,8754279
2022-09-12T00:00:00+05:30,39.8,40.2,39.65,39.7,6468686
2022-09-13T00:00:00+05:30,39.95,40.55,39.7,39.85,9098731
2022-09-14T00:00:00+05:30,39.3,40.0,39.15,39.4,8318230
2022-09-15T00:00:00+05:30,39.7,40.35,39.25,39.45,7168845
2022-09-16T00:00:00+05:30,39.55,39.6,37.8,38.1,9901035
2022-09-19T00:00:00+05:30,38.2,38.55,37.6,37.9,5621493
2022-09-20T00:00:00+05:30,38.4,38.55,38.0,38.1,4357506
2022-09-21T00:00:00+05:30,38.1,38.45,37.45,37.65,5413877
2022-09-22T00:00:00+05:30,37.65,38.15,37.45,37.9,4211315
2022-09-23T00:00:00+05:30,38.6,38.6,37.4,37.65,5864687
2022-09-26T00:00:00+05:30,37.3,37.3,35.9,36.65,7267455
2022-09-27T00:00:00+05:30,37.1,37.25,36.05,36.6,3971429
2022-09-28T00:00:00+05:30,36.55,36.55,35.5,35.85,4614310
