Date,Open,High,Low,Close,Volume
2022-07-05T00:00:00+05:30,53.11,55.57,52.89,54.0,13168481
2022-07-06T00:00:00+05:30,53.93,56.07,53.57,55.57,8524789
2022-07-07T00:00:00+05:30,56.11,56.71,53.14,53.46,6606849
2022-07-08T00:00:00+05:30,53.46,54.18,52.21,52.64,4349762
2022-07-11T00:00:00+05:30,51.54,56.43,51.54,55.57,8460826
2022-07-12T00:00:00+05:30,55.64,56.89,54.86,55.25,8795755
2022-07-13T00:00:00+05:30,55.43,55.89,54.79,55.25,2877070
2022-07-14T00:00:00+05:30,55.0,56.64,55.0,56.36,6529909
2022-07-15T00:00:00+05:30,56.64,58.07,56.5,57.07,7550942
2022-07-18T00:00:00+05:30,57.5,58.32,56.64,56.89,4809705
2022-07-19T00:00:00+05:30,57.07,57.07,53.96,54.64,5356268
2022-07-20T00:00:00+05:30,55.5,56.36,54.71,55.57,4046707
2022-07-21T00:00:00+05:30,55.54,59.07,55.0,58.25,7716579
2022-07-22T00:00:00+05:30,58.32,58.36,56.89,57.57,3402900
2022-07-25T00:00:00+05:30,57.82,58.71,56.57,57.32,2902415
2022-07-26T00:00:00+05:30,57.57,57.57,56.14,57.07,3423091
2022-07-27T00:00:00+05:30,57.07,57.61,56.21,57.07,2930509
2022-07-28T00:00:00+05:30,57.36,58.07,56.79,57.07,3772690
2022-07-29T00:00:00+05:30,57.18,57.46,54.57,55.21,4970619
2022-08-01T00:00:00+05:30,55.36,56.43,54.86,55.11,3874133
2022-08-02T00:00:00+05:30,55.07,56.04,54.36,55.36,3605334
2022-08-03T00:00:00+05:30,55.36,56.71,55.14,55.36,4688657
2022-08-04T00:00:00+05:30,55.54,57.07,54.5,56.75,8678019
2022-08-05T00:00:00+05:30,57.21,60.29,56.46,56.75,12455305
2022-08-08T00:00:00+05:30,57.5,57.75,56.0,56.39,5271595
2022-08-10T00:00:00+05:30,56.43,57.71,56.25,57.04,7409097
2022-08-11T00:00:00+05:30,57.64,57.79,56.0,56.36,8408611
2022-08-12T00:00:00+05:30,55.75,56.14,55.29,55.93,2129611
2022-08-16T00:00:00+05:30,56.39,58.29,55.96,57.32,9148472
2022-08-17T00:00:00+05:30,57.61,57.82,56.68,57.07,4267799
2022-08-18T00:00:00+05:30,57.07,58.57,56.57,56.86,4969045
2022-08-19T00:00:00+05:30,57.29,57.5,54.82,55.71,7020013
2022-08-22T00:00:00+05:30,55.71,56.43,55.43,55.82,4185492
2022-08-23T00:00:00+05:30,55.86,57.71,55.54,57.32,12809360
2022-08-24T00:00:00+05:30,57.71,58.57,56.46,56.71,6064374
2022-08-25T00:00:00+05:30,57.0,58.0,55.82,56.93,12167775
2022-08-26T00:00:00+05:30,57.14,57.75,57.07,57.11,2682248
2022-08-29T00:00:00+05:30,55.71,56.79,55.39,55.93,5590971
2022-08-30T00:00:00+05:30,56.79,62.61,56.46,58.21,15049107
2022-09-01T00:00:00+05:30,58.14,59.57,56.5,56.82,7706887
2022-09-02T00:00:00+05:30,57.39,60.43,57.18,58.43,22993576
2022-09-05T00:00:00+05:30,59.0,60.68,57.96,59.5,10030521
2022-09-06T00:00:00+05:30,60.61,61.54,59.86,60.25,11672467
2022-09-07T00:00:00+05:30,60.14,62.14,59.86,60.54,11982456
2022-09-08T00:00:00+05:30,61.39,66.96,61.07,64.07,25186560
2022-09-09T00:00:00+05:30,65.0,67.18,64.75,65.07,18313108
2022-09-12T00:00:00+05:30,65.75,65.75,63.82,64.07,7464736
2022-09-13T00:00:00+05:30,64.61,65.54,64.14,65.18,13736865
2022-09-14T00:00:00+05:30,63.93,65.11,63.61,64.25,9899705
2022-09-15T00:00:00+05:30,64.64,65.71,63.79,65.04,4838032
2022-09-16T00:00:00+05:30,65.36,65.36,60.86,62.0,65667353
2022-09-19T00:00:00+05:30,63.89,64.5,62.43,62.82,3985765
2022-09-20T00:00:00+05:30,63.11,64.04,62.29,62.71,2320101
2022-09-21T00:00:00+05:30,62.86,64.46,61.54,62.0,5114469
2022-09-22T00:00:00+05:30,61.75,63.93,61.32,63.46,5300694
2022-09-23T00:00:00+05:30,63.89,63.89,61.07,61.43,3077932
2022-09-26T00:00:00+05:30,60.25,61.36,58.57,60.43,9163477
2022-09-27T00:00:00+05:30,61.29,61.71,59.75,60.21,4637668
2022-09-28T00:00:00+05:30,63.57,64.14,60.11,60.54,12867155
2022-09-29T00:00:00+05:30,61.71,63.18,60.54,61.89,7192059
2022-09-30T00:00:00+05:30,62.29,63.29,60.96,62.5,10679644
2022-10-03T00:00:00+05:30,62.57,63.64,61.93,62.54,11659834
2022-10-04T00:00:00+05:30,63.32,63.32,61.96,62.29,2775623
2022-10-06T00:00:00+05:30,62.86,63.93,62.54,62.71,3067719
2022-10-07T00:00:00+05:30,62.71,62.96,62.0,62.18,3094032
2022-10-10T00:00:00+05:30,62.14,63.04,61.54,62.0,2557086
2022-10-11T00:00:00+05:30,62.14,62.43,60.82,61.21,2523708
2022-10-12T00:00:00+05:30,61.43,62.21,61.18,61.39,2108608
2022-10-13T00:00:00+05:30,61.39,62.86,61.25,62.32,3845754
2022-10-14T00:00:00+05:30,62.86,64.75,62.61,63.39,3364946
2022-10-17T00:00:00+05:30,63.54,63.71,62.96,63.32,4760894
2022-10-18T00:00:00+05:30,63.43,64.0,62.0,62.21,2407745
2022-10-19T00:00:00+05:30,62.46,64.21,62.29,63.68,3303251
2022-10-20T00:00:00+05:30,63.57,63.75,62.36,62.61,1880123
2022-10-21T00:00:00+05:30,62.93,63.07,60.79,61.14,4259913
2022-10-24T00:00:00+05:30,61.96,62.36,61.54,62.04,401396
2022-10-25T00:00:00+05:30,61.61,62.32,61.21,61.64,1533494
2022-10-27T00:00:00+05:30,61.96,62.21,61.07,61.61,4227100
2022-10-28T00:00:00+05:30,61.61,62.64,57.79,60.25,3864614
2022-10-31T00:00:00+05:30,60.68,63.86,60.39,62.5,11574574
2022-11-01T00:00:00+05:30,60.29,61.18,58.5,59.04,10010199
2022-11-02T00:00:00+05:30,59.07,59.61,58.36,58.86,2351445
2022-11-03T00:00:00+05:30,58.57,59.14,57.39,58.04,5341738
2022-11-04T00:00:00+05:30,58.04,58.43,57.57,57.86,5898504
2022-11-07T00:00:00+05:30,58.57,59.79,58.32,59.07,2801562
2022-11-09T00:00:00+05:30,60.0,60.07,58.64,59.29,2801360
2022-11-10T00:00:00+05:30,59.29,59.43,58.11,59.0,1781537
2022-11-11T00:00:00+05:30,59.96,60.18,59.04,59.32,2317926
2022-11-14T00:00:00+05:30,59.82,60.07,58.57,59.25,2728454
2022-11-15T00:00:00+05:30,59.68,59.68,48.64,59.29,2919978
2022-11-16T00:00:00+05:30,65.0,71.15,60.15,60.65,14141880
2022-11-17T00:00:00+05:30,60.95,61.5,59.8,60.5,2404050
