Date,Open,High,Low,Close,Volume
2024-01-17T00:00:00+05:30,880.0,881.65,843.5,850.15,1856770
2024-01-18T00:00:00+05:30,850.0,850.0,813.9,843.65,2296029
2024-01-19T00:00:00+05:30,850.0,867.65,840.6,858.7,1564164
2024-01-20T00:00:00+05:30,868.0,894.6,864.55,873.35,1485117
2024-01-23T00:00:00+05:30,877.95,883.75,817.15,825.3,1482258
2024-01-24T00:00:00+05:30,828.0,843.35,816.65,841.1,1124950
2024-01-25T00:00:00+05:30,844.0,846.35,818.1,828.65,1772063
2024-01-29T00:00:00+05:30,831.0,867.85,815.2,860.35,6047472
2024-01-30T00:00:00+05:30,868.0,894.5,855.0,865.45,6244159
2024-01-31T00:00:00+05:30,871.5,892.0,865.0,887.5,2756554
2024-02-01T00:00:00+05:30,892.7,924.3,872.6,921.2,4773808
2024-02-02T00:00:00+05:30,937.05,937.9,915.15,920.05,3415920
2024-02-05T00:00:00+05:30,930.05,951.9,913.05,930.4,3238887
2024-02-06T00:00:00+05:30,935.9,940.45,920.0,935.75,1185651
2024-02-07T00:00:00+05:30,938.0,939.0,918.05,922.15,812576
2024-02-08T00:00:00+05:30,928.0,964.0,920.2,950.85,3711989
2024-02-09T00:00:00+05:30,961.0,971.55,910.1,943.35,2799376
2024-02-12T00:00:00+05:30,951.95,951.95,906.5,913.65,2251407
2024-02-13T00:00:00+05:30,914.9,933.65,894.0,925.3,1624595
2024-02-14T00:00:00+05:30,920.9,942.5,913.0,939.65,1538122
2024-02-15T00:00:00+05:30,949.0,961.65,934.0,955.15,1713175
2024-02-16T00:00:00+05:30,957.0,987.0,951.2,980.8,3576995
2024-02-19T00:00:00+05:30,984.75,1015.2,966.45,1010.25,3354158
2024-02-20T00:00:00+05:30,1001.5,1013.75,990.0,999.8,3193542
2024-02-21T00:00:00+05:30,1004.0,1027.65,986.1,991.9,3854456
2024-02-22T00:00:00+05:30,1002.75,1024.0,985.7,1013.7,2872499
2024-02-23T00:00:00+05:30,1021.5,1021.5,1001.25,1004.95,1290598
2024-02-26T00:00:00+05:30,1004.95,1005.3,978.75,987.05,3999562
2024-02-27T00:00:00+05:30,987.05,998.4,965.2,972.05,1540090
2024-02-28T00:00:00+05:30,980.2,985.95,951.2,957.25,1761906
2024-02-29T00:00:00+05:30,952.2,985.65,945.0,977.4,3664111
2024-03-01T00:00:00+05:30,983.8,988.9,972.35,978.05,627986
2024-03-02T00:00:00+05:30,975.2,986.7,972.65,981.35,73811
2024-03-04T00:00:00+05:30,977.05,990.75,972.0,986.15,1935494
2024-03-05T00:00:00+05:30,984.1,985.2,966.15,967.95,1258586
2024-03-06T00:00:00+05:30,965.0,975.0,949.3,971.7,1005912
2024-03-07T00:00:00+05:30,972.05,975.7,959.05,964.7,763240
2024-03-11T00:00:00+05:30,964.7,971.6,950.75,955.75,1674256
2024-03-12T00:00:00+05:30,955.0,964.0,921.7,925.0,817033
2024-03-13T00:00:00+05:30,918.1,928.7,853.1,862.45,3796016
2024-03-14T00:00:00+05:30,862.45,921.0,854.95,867.95,1997066
2024-03-15T00:00:00+05:30,868.05,872.4,845.0,865.75,2284557
2024-03-18T00:00:00+05:30,868.85,879.4,849.45,854.9,1604337
2024-03-19T00:00:00+05:30,854.0,857.9,827.6,831.7,1306629
2024-03-20T00:00:00+05:30,835.55,843.3,819.45,839.6,1182471
2024-03-21T00:00:00+05:30,851.0,877.55,846.3,873.2,2443904
2024-03-22T00:00:00+05:30,873.2,880.95,864.6,868.1,999736
2024-03-26T00:00:00+05:30,868.1,880.45,862.75,868.05,950457
2024-03-27T00:00:00+05:30,870.0,887.0,862.2,866.2,1643044
2024-03-28T00:00:00+05:30,869.0,891.7,864.6,882.1,1661176
2024-04-01T00:00:00+05:30,894.0,908.9,887.75,902.25,2133855
2024-04-02T00:00:00+05:30,904.0,922.2,897.1,917.1,1302199
2024-04-03T00:00:00+05:30,917.1,925.2,909.65,913.95,689633
2024-04-04T00:00:00+05:30,920.0,926.1,910.0,913.65,716188
2024-04-05T00:00:00+05:30,913.65,942.2,905.45,933.5,1816263
2024-04-08T00:00:00+05:30,934.0,936.7,892.0,911.35,2331541
2024-04-09T00:00:00+05:30,921.25,933.85,914.55,924.4,1117137
2024-04-10T00:00:00+05:30,927.7,974.75,925.65,970.7,4586719
2024-04-12T00:00:00+05:30,969.0,974.95,944.2,946.8,997938
2024-04-15T00:00:00+05:30,934.1,953.85,922.25,928.9,2887446
2024-04-16T00:00:00+05:30,920.0,959.9,917.1,940.05,1812822
2024-04-18T00:00:00+05:30,954.7,954.95,920.0,924.15,1614368
2024-04-19T00:00:00+05:30,916.0,928.85,898.35,917.3,958390
2024-04-22T00:00:00+05:30,939.9,948.4,929.45,945.75,1124453
2024-04-23T00:00:00+05:30,946.0,958.45,939.95,948.35,1271123
2024-04-24T00:00:00+05:30,947.85,976.4,947.8,973.05,2166181
2024-04-25T00:00:00+05:30,981.6,1012.0,968.2,1004.8,3929729
2024-04-26T00:00:00+05:30,1009.95,1079.0,1006.2,1068.0,7642272
2024-04-29T00:00:00+05:30,1083.0,1083.85,1036.4,1049.55,3847372
2024-04-30T00:00:00+05:30,1058.0,1059.9,1024.35,1028.0,2814829
2024-05-02T00:00:00+05:30,1033.75,1055.55,1028.6,1050.5,1530017
2024-05-03T00:00:00+05:30,1061.2,1073.75,1048.05,1059.45,2723333
2024-05-06T00:00:00+05:30,1069.0,1069.0,1027.75,1032.35,1290298
2024-05-07T00:00:00+05:30,1033.0,1033.75,985.0,1002.35,2022960
2024-05-08T00:00:00+05:30,1004.95,1032.0,1000.5,1019.05,1361317
2024-05-09T00:00:00+05:30,1017.75,1027.0,987.95,990.6,839141
2024-05-10T00:00:00+05:30,998.0,1013.0,978.05,1001.75,1407788
2024-05-13T00:00:00+05:30,1009.5,1018.7,993.1,1013.2,2352890
2024-05-14T00:00:00+05:30,1020.9,1035.0,1005.0,1027.1,1129308
2024-05-15T00:00:00+05:30,1029.9,1038.6,1021.3,1034.5,707753
2024-05-16T00:00:00+05:30,1032.0,1042.0,1019.05,1036.4,1069653
2024-05-17T00:00:00+05:30,1035.0,1116.05,998.65,1087.05,12366085
2024-05-18T00:00:00+05:30,1102.0,1110.0,1098.05,1101.0,731933
2024-05-21T00:00:00+05:30,1118.0,1119.2,1077.5,1093.85,3637937
2024-05-22T00:00:00+05:30,1096.0,1100.0,1070.05,1081.8,1796314
2024-05-23T00:00:00+05:30,1083.95,1113.25,1076.55,1105.85,3765254
2024-05-24T00:00:00+05:30,1109.85,1119.9,1095.95,1102.85,2248991
2024-05-27T00:00:00+05:30,1113.4,1115.5,1097.65,1103.05,2770553
2024-05-28T00:00:00+05:30,1106.0,1111.3,1070.3,1080.7,2215982
2024-05-29T00:00:00+05:30,1076.95,1097.2,1062.0,1084.8,1886810
2024-05-30T00:00:00+05:30,1078.0,1086.7,1063.45,1066.05,841185
2024-05-31T00:00:00+05:30,1073.0,1080.65,1046.55,1074.85,2862392
